cluster,MAE,RMSE,WAPE
18.0,15.632606416589171,23.442952433502867,0.40717565335668054
11.0,32.680933308198796,50.37291905175407,0.4124183355266268
19.0,15.622046510032028,23.648685973361744,0.4318562169500672
5.0,101.7047713065351,151.8432516273842,0.43681079967428305
9.0,16.584529457321324,24.971279686876716,0.4387506094842943
17.0,10.931739177200702,15.936040729060295,0.44048532392892487
16.0,21.50263645377593,31.747970026254304,0.45327977895624677
12.0,144.00246144150375,214.86730393264725,0.46777549156841536
7.0,9.418309104713273,13.43979615598831,0.4702301787780413
15.0,8.408002826945529,12.215458443700312,0.4746320395513969
6.0,11.197937995645242,16.22759713202892,0.48414979902561717
3.0,31.214724120594173,45.48934436222,0.5003105217482476
0.0,9.493372791614146,13.552350233837911,0.5076613423652349
8.0,85.69773081594496,134.33594985088973,0.5094657831354859
4.0,45.87595909281537,69.46291089052161,0.511630436368573
14.0,151.48232828569718,232.2816438471148,0.5136843029394356
20.0,27.7754574627254,38.87385557247103,0.5294167299875305
10.0,8.194918656913558,12.100396642795626,0.5329637489106123
2.0,0.2131509735067057,0.4388146468176678,1.8174588924447403
13.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0
